created_at,text
Wed May 03 23:55:04 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/mGdSWJWwzY #nerdnews #news #geeks… https://t.co/lb4zBMtJJs"
Wed May 03 23:55:13 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:55:14 +0000 2017,#Zika #Fight: Bacteria-laden #Mosquitoes #Unleashed in #Florida to #Combat #Virus https://t.co/X8mLoEKHKB #Bacterialaden
Wed May 03 23:55:19 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/g8JkU4H23f brandnaware https://t.co/QPhra86fah
Wed May 03 23:55:26 +0000 2017,"3Novices:Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/TNKArO14VO May 04, 2017 at 04:58AMFor inf…"
Wed May 03 23:55:27 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool #health #abouthealth #All4TodayHealth https://t.co/5IYBC0Trc7"
Wed May 03 23:55:28 +0000 2017,RT @DavidArmstrongX: Nasty dispute between CDC and Puerto Rico officials may be masking true extent of Zika cases https://t.co/zhyhxRWG0d
Wed May 03 23:55:32 +0000 2017,"Researchers advance low-cost, low-tech Zika virus surveillance tool https://t.co/PoMQUL86Fm"
Wed May 03 23:55:33 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/uAiHgaZMqO
Wed May 03 23:55:48 +0000 2017,Keep unleashing hell until hell have no end. Smh They create this ☠ all of it!! https://t.co/6mYNdvwIGC
Wed May 03 23:56:06 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/GVVNIX6ExT #foxnews #fox #news
Wed May 03 23:56:12 +0000 2017,THR: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/LJMQDVcqh3 (FOX)
Wed May 03 23:56:22 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/NGBkFIlRra #news
Wed May 03 23:56:29 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:56:34 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:56:39 +0000 2017,Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus https://t.co/EjHBbikZnV #politics
Wed May 03 23:56:58 +0000 2017,RT @RealJamesWoods: Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus / What could possibly go wrong? EndOfDays ht…
Wed May 03 23:56:59 +0000 2017,"RT @Conservatexian: New post: ""Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus"" https://t.co/f4yLO5haDD"
Wed May 03 23:57:21 +0000 2017,RT @MistaBRONCO: BRILLIANT LOL https://t.co/jkG5rdFwCj
Wed May 03 23:57:29 +0000 2017,https://t.co/drQX09tFCZ - Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus -… https://t.co/L1j6Iahavo
Wed May 03 23:57:29 +0000 2017,"Zika fight: Bacteria-laden mosquitoes unleashed in Florida to combat virus, if you know what i mean"
